ID,Word,Description,Has Video
D0178,chậm chạp,Chậm (nói khái quát).,true
D0179,ngừng lại,"Không tiếp tục hoạt động, phát triển.",false
D0182B,cung điện,Nhà ở và làm việc của vua chúa.,false
D0183,dừng lại,,true
D0184,một ít/ một chút,"Một phần nào đó, thường là rất nhỏ.",false
D0185,kẹt xe/tắc đường,,true
D0186,suy ra,,false
D0187,thì thầm,"Nói thầm với nhau, không để người ngoài nghe thấy.",true
D0188B,hoặc,"Từ biểu thị quan hệ giữa nhiều (thường là hai) khả năng khác nhau, không khả năng này thì khả năng kia, ít nhất có một khả năng được thực hiện.",false
D0190B,không muốn,,false
D0191,sa mạc,"Vùng rộng lớn có khí hậu rất khô, không có nước, hầu như không có cây cối và động vật sinh sống, trừ ở một số ốc đảo.",true
D0192B,xem,Nhận biết bằng mắt.,false
D0193,núi cao,,true
D0194,núi thấp,,true
D0196,xem đã,,false
D0197,mồ hôi nhễ nhại,,true
D0198,không ngon,,false
D0199,hài lòng,Cảm thấy hợp ý vì đáp ứng được đầy đủ những đòi hỏi đã đặt ra.,false
D0200,má hồng,"Má đỏ hồng, dùng để chỉ ngưởi con gái đẹp.",true
D0201,ngập ngừng,"Tỏ ra do dự, rụt rè, vừa muốn lại vừa e ngại, không quả quyết.",false
D0204,mít tinh,"Cuộc tụ tập quần chúng đông đảo để tham dự một sự kiện chính trị, xã hội quan trọng nào đó.",true
D0205,sụp đổ,"Đổ sập xuống, đổ hẳn xuống.",true
D0206B,thiếu thốn,Thiếu nhiều so với nhu cầu.,false
D0208,khổ công,"Vất vả, phải bỏ ra quá nhiều sức lực, tâm trí vào công việc nào đó.",false
D0209B,dám làm,,false
D0210B,không dám,,false
D0211,phiền hà,"Làm rầy rà, rắc rối, gây khó dễ cho người khác.",true
D0212,đèn ông sao,,true
D0213B,ung thư,"U ác tính, thường có di căn, dễ gây tử vong.",false
D0214B,phó hiệu trưởng,,false
D0216,nguyệt quế,"Dùng để tặng thưởng cho những người chiến thắng, cả trong những cuộc thi đấu thể thao, bao gồm cả Olympic cổ đại cũng như các cuộc thi.",true
D0217,hữu nghị,"Thân thiện, có tính chất bè bạn (thường nói về quan hệ giữa các nước).",false
D0218,bắn cung tên,,true
D0219,mũi tên,"Tên bắn đi bằng cung, nỏ.",true
D0220,cung tên,,true
D0221,tận số,"Chấm dứt, kết thúc số phận, coi như hết đời.",false
D0222,nứt nẻ,Nứt thành nhiều đường ngang dọc chằng chịt.,true
D0223B,Mã Lai,,false
D0226,đàng hoàng,"Có đời sống vật chất đầy đủ, theo mức yêu cầu chung của xã hội.",false
D0227,phân vân,"Ở trong trạng thái đang phải nghĩ ngợi, chưa biết nên quyết định như thế nào cho phải.",false
D0228,lau miệng,,true
D0229,chó cắn,,true
D0230,mèo cào,,true
D0231,quan hệ từ,,false
D0232,yêu nước Việt Nam,,true
D0233,quan,"Viên chức có quyền hành trong bộ máy nhà nước phong kiến, thực dân.",true
D0234,đi tuần,,true
D0235,vỗ về,"Vỗ nhẹ vào người, để tỏ tình cảm âu yếm, nâng niu làm cho có được cảm giác êm dịu.",false
D0236,hốt hoảng,"Hoảng, biểu hiện ra trong cử chỉ, lời nói, v.v.",true
D0237,chuyện nhỏ,,false
D0238,chuyện lớn,,false
D0239,cái gùi,,true
D0240,hùng vĩ,"Rộng lớn và gây được ấn tượng của cái mạnh, cái đẹp (thường nói về cảnh vật).",false
D0241,bất khuất,Không chịu khuất phục.,false
D0242B,nhưng,Từ biểu thị điều sắp nêu ra ngược lại với điều vừa nói.,false
D0243B,hay là (hoặc là),"Từ biểu thị điều sắp nêu ra là một khả năng mà người nói thấy chưa thể khẳng định, đang còn hồ nghi.",false
D0246,quanh năm,Suốt từ đầu năm đến cuối năm.,false
D0247,gấp đôi,,false
D0248,gấp ba,,false
D0249B,chia đôi,,false
D0250B,chia ba,,false
D0251,"đi lạc",,true
D0252,mất (chết),Không còn sống nữa.,false
D0253,đại sứ,Đại sứ đặc mệnh toàn quyền (nói tắt).,false
D0254,cảnh giác,Chú ý đề phòng và có cảm giác nhạy bén trước sự biến đổi xấu đi của tình hình hoặc trước mối nguy hiểm có thể xảy ra.,false
D0255,giám sát,Theo dõi và kiểm tra việc thực hiện những điều đã quy định.,true
D0256,quan sát,"Nhìn, xem xét để thấy, để biết rõ sự vật, hiện tượng nào đó.",false
D0257,ăn vụng,"Ăn lén lút, vụng trộm.",true
D0258,xảy ra,,false
D0259,dự án,Bản dự thảo một văn kiện về luật pháp hay về một kế hoạch cụ thể nào đó.,true
D0260,đầu tư,"Bỏ nhân lực, vật lực, tài lực vào công việc gì sao cho có hiệu quả kinh tế, xã hội.",false
D0261,năn nỉ,Nói khẩn khoản để nài xin.,false
D0262,háo hức,"Ở trạng thái phấn khởi nghĩ đến và nóng lòng chờ đợi một điều hay, điều vui biết là sắp tới.",false
D0263,rắc rối,"Có mối quan hệ phức tạp giữa nhiều yếu tố, khiến cho trở nên khó hiểu, khó giải quyết.",false
D0264,tải về,,false
D0265,nhõng nhẽo,Làm ra vẻ không bằng lòng để đòi hỏi người khác phải chiều theo ý mình.,false
D0266,hên/gặp may,,false
D0267B,đen đủi,"Không gặp điều tốt lành, may mắn.",false
D0268B,xui xẻo,"Đen đủi, không gặp may.",false
D0269,long lanh,"Có ánh sáng phản chiếu trên vật trong suốt, tạo vẻ trong sáng, sinh động.",false
D0270B,lạnh lùng,"Không hề biểu hiện một chút tình cảm trong quan hệ tiếp xúc với người, với việc.",false
D0271B,dỗi,"Tỏ thái độ giận, không bằng lòng bằng cách làm như không cần đến nữa, không thiết nữa.",false
D0272B,liếc nhìn,Đưa mắt nhìn chếch và nhanh sang một bên.,false
D0273,nhổ tóc,,true
D0274,nhổ râu,,true
D0275,nhổ lông mày,,true
D0276,cắt lông mũi,,true
D0277,nhổ răng,,true
D0278,răng hô,,true
D0279,răng khểnh,,true
D0280,kháu khỉnh,Kháu (nói khái quát).,false
D0286,cách ly,"Không để cho tiếp xúc với những người hoặc vật khác, nhằm ngừa trước điều gì (thường là nhằm tránh lây bệnh).",true
D0287,giãn cách,,true
D0288,tương lai,"Thời gian về sau này, thời gian sắp tới.",false
D0289,ria mép,Râu mọc ở mép.,true
D0290,trong khoảng,,false
D0291,trốn tìm,,true
D0292,nhảy bao bố,,true
D0293,nhảy lò cò,,true
D0294,kéo co,"Trò chơi tập thể, người chơi chia làm hai tốp, mỗi tốp nắm một đầu sợi dây, bên nào kéo được về phía mình là thắng.",true
D0295,hội thoại,Sử dụng một ngôn ngữ để nói chuyện với nhau.,false
D0296,lý do,Điều làm căn cứ được dùng để giải thích một việc nào đó.,false
D0300,tỉnh táo,"Ở trạng thái tỉnh, không buồn ngủ; ở trạng thái vẫn minh mẫn, không để cho tình hình rắc rối, phức tạp tác động đến tư tưởng, tình cảm.",false
D0301,nhộn nhịp,"Từ gợi tả không khí đông vui, tập nập, do có nhiều người qua lại hoặc cùng tham gia hoạt động.",true
D0302,áo kẻ sọc,,true
D0304,thống nhất,,true
D0305,khoáng sản,"Khoáng vật và đá trong vỏ Trái Đất, có thể khai thác để trở thành các nguồn lợi kinh tế.",true
D0306,thương mại,Ngành kinh tế thực hiện việc lưu thông hàng hoá bằng mua bán.,false
D0307B,công nghiệp,"Ngành chủ đạo của nền kinh tế đất nước, bao gồm các xí nghiệp khai thác và chế biến nguyên vật liệu, nhiên liệu (rừng, biển, mỏ, v.v.), chế tạo công cụ lao động và hàng tiêu dùng (máy móc, động cơ, v.v.), chế biến sản phẩm của các ngành nông nghiệp, lâm nghiệp, ngư nghiệp, v.v.",false
D0313,nhà rông,"Nhà công cộng của buôn làng ở một số vùng dân tộc thiểu số Tây Nguyên, dùng làm nơi tiếp khách và hội họp, vui chơi chung.",true
D0314,lãng phí,"Làm tốn kém, hao tổn một cách vô ích.",true
D0315,tiến bộ,"Trở nên giỏi, tốt hơn trước.",false
D0317,cứu sống,,true
D0318,máy xúc,"Máy chạy bằng động cơ, có lắp gàu ngoạm để đào bốc đất đá, thường dùng trong xây dựng và trong khai thác mỏ lộ thiên.",true
D0321,kim cương,"Carbon ở dạng tinh thể óng ánh, rất cứng, dùng để cắt kính, làm đồ trang sức.",true
D0322,phân biệt,"Nhận biết được sự khác nhau, căn cứ vào đặc điểm, tính chất.",false
D0323,không bình đẳng,,false
D0324,đùm bọc,Giúp đỡ và che chở lẫn nhau trong cuộc sống.,false
D0325,khởi nghiệp,Bắt đầu sự nghiệp.,false
D0326B,vải lụa,,false
D0329,rau diếp cá,,true
D0330,rau ngò/rau mùi,,true
D0331,thao thức,"Trằn trọc, trăn trở không sao ngủ được vì có điều phải suy nghĩ, không yên.",false
D0332,thâm quầng mắt,,true
D0333,tự hào,"Lấy làm hài lòng, hãnh diện về cái tốt đẹp mà mình có.",false
D0334,quyên góp,Góp tiền của để làm việc có ích.,true
D0335,chia rẽ,"Làm cho mâu thuẫn với nhau, khiến cho mất đoàn kết, mất đi sự thống nhất.",true
D0336,tự trọng,"Coi trọng và giữ gìn phẩm cách, danh dự của mình.",false
D0337,gian dối,"Có ý lừa lọc, không thật thà ngay thẳng.",false
D0338,ăn bám,Sống nhờ vào lao động của người khác (nói về người có khả năng lao động mà không chịu làm ăn gì).,false
D0339,tuyên truyền,"Giải thích rộng rãi để thuyết phục mọi người tán thành, ủng hộ, làm theo.",true
D0340,thịnh vượng,"Ở trạng thái đang phát đạt, giàu có lên.",false
D0341,lấm lem,Bị dính bẩn nhiều chỗ.,true
D0342B,ham chơi,,false
D0343,đánh cầu lông,,true
D0344,cánh buồm,,true
D0346B,da trắng,,false
D0347B,da ngăm đen,,false
D0348,tuần trăng mật,Chuyến du lịch mà đôi vợ chồng mới kết hôn dành cho nhau ngay sau lễ cưới của mình trong sự thân mật và riêng tư.,true
D0349,năm tới,,false
D0350,hoãn,"Chuyển thời điểm định làm việc gì đó sang thời điểm khác, muộn hơn.",false
D0351,huỷ,Làm cho không còn tồn tại hoặc không còn giá trị nữa.,false
D0352,phụ thuộc,"Chịu sự ràng buộc, chi phối của cái khác, không thể tồn tại, phát triển nếu thiếu tác động nhất định của cái khác.",false
D0353,thuộc địa,Nước hoặc vùng lãnh thổ bị một nước đế quốc thực dân xâm chiếm và đô hộ.,false
D0354,tẩy chay,"Không hưởng ứng, không tham gia, không có quan hệ nữa, để tỏ thái độ phản đối.",true
D0366,bệnh phong/cùi,,true
D0367,hội chứng Đao,,true
D03671,bệnh Đao,,false
D0369,mệt mỏi,"Mệt đến mức không còn muốn làm gì nữa, thường do kiệt sức.",true
D0370,mệt không?,,false
D0371,đói không?,,false
D0372,cả ngày,,false
D0373,chiên/rán,"Làm cho chín thức ăn trong dầu, mỡ đun sôi.",true
D0374,nướng,Làm cho chín bằng cách đặt trực tiếp trên than hồng hoặc lửa.,true
D0375,luộc,Làm chín thực phẩm bằng cách đun trong nước.,true
D0376,xào,Làm chín thức ăn bằng cách đảo đều với dầu mỡ và mắm muối trên bếp.,true
D0377,lẩu,"Món ăn gồm nhiều thứ thịt, tôm, cá, rau, v.v. thả vào nồi nước dùng đang sôi để ăn nóng.",true
D0378,gỏi/nộm,,true
D0379,nhà kho,Nhà chuyên dùng để làm kho.,true
D0380,hấp,Làm cho chín thức ăn bằng hơi nóng của nước.,true
D0381,thối,Có mùi khó ngửi.,true
D0382,thiu,Thức ăn đã nấu chín bị biến chất và có mùi khó chịu.,true
D0383,nguội,"Không còn nóng nữa, trở thành có nhiệt độ bình thường.",true
D0384,ngán,,true
D0385,tôm hùm,"Tôm biển to có đôi càng rất lớn, râu rất dài, đầu có gai.",true
D0386,cua đồng,"Cua nhỏ sống ở nước ngọt, thường đào hang ở bờ ruộng.",true
D0387,con hàu,,true
D0388,hải sản,"Sản phẩm thực vật, động vật khai thác từ biển (nói khái quát).",true
D0389,vịt quay,,true
D0390,gà nướng lu,,true
D0393,bánh canh,"Thức ăn làm bằng bột nhào kĩ rồi cắt thành sợi, nấu với tôm, cua, thịt.",true
D0394,miến,"Thức ăn làm bằng tinh bột, chế biến thành sợi dài, nhỏ và khô, nấu chín có màu trong và dai.",true
D0396B,nước ép,,false
D0397,"sinh tố (bơ, dâu,..)","Chỉ thức uống được chế biến từ các loại hoa quả tươi bằng cách xay nhuyễn với một vài muỗng cà phê sữa đặc có đường, đá vụn và trái cây tươi.",true
D0398,vắt chanh,,true
D0399,mía,"Cây trồng thuộc họ lúa, thân đặc có đốt, chứa chất đường, dùng để ăn, kéo mật hoặc làm đường.",true
D0400,chanh đá,,true
D0401,chanh nóng,,true
D0402,chanh muối,,true
D0403,trà đá,,true
D0404,trà nóng,,true
D0405,trà sữa,,true
D0406,Socola,Một loại đồ ăn được làm từ quả của cây ca cao.,true
D0409,một tiết học,,false
D0410B,một tiếng,,false
D0411,chung tay,,true
D0412,rửa chân,,true
D0413,rửa mặt,,true
D0414,đánh răng,,false
D0416B,tuần này,,false
D0417B,tuần sau,,false
D0418B,tuần trước,,false
D0419,cuối tuần,,false
D0420,cuối tháng,,false
D0421,cuối năm,,false
D0422,mục tiêu,Đích để nhắm vào.,true
D0423B,sinh đôi,"Sinh ra trong cùng một lần, thành một đôi.",false
D0424,đôi/cặp,"Tập hợp gồm hai vật cùng loại, hai cá thể tương ứng với nhau và làm thành một đơn vị về mặt chức năng, công dụng.",false
D0425,Đảng,"Đảng Cộng sản Việt Nam, nói tắt.",true
D0426,mô tả,"Dùng một phương tiện nào đó làm cho người khác có thể hình dung được cụ thể sự vật, sự việc hoặc thế giới nội tâm của con người.",false
D0427,mũm mĩm,"Béo và tròn trĩnh, trông thích mắt.",true
D0428,tóc dài,,true
D0429B,tóc ngắn,,false
D0430B,tổng kết/bế giảng,"Kết thúc một khoá học, một năm học.",false
D0431,lốc xoáy,,true
D0432B,sạch sẽ,,false
D0433,nhắm mắt,Bắt đầu ngủ.,true
D0434,sờ,Đặt và di động nhẹ bàn tay trên bề mặt của vật để nhận biết bằng xúc giác.,true
D0435,cây nến,,true
D0436,dịu dàng,"Tỏ ra dịu, có tác dụng gây cảm giác dễ chịu, tác động êm nhẹ đến các giác quan hoặc đến tinh thần.",false
D0437B,đùa,"Làm hoặc nói điều gì để cho vui, không phải là thật.",false
D0438,làm được,,false
D0439,dòng sông,,true
D0440,ăn đủ,,false
D0441,ăn vừa,,false
D0442,ăn ít,,false
D0443,đồ uống,,true
D0444,đồ ăn,"Các thức dùng để ăn, nói chung.",true
D0445,trang điểm,"Làm cho đẹp lên bằng cách dùng son phấn, quần áo, đồ trang sức, v.v.",true
D0446,đau mắt đỏ,,true
D0447,cái vợt cá,,true
D0448,vợt cầu lông,,true
D0449,con vượn,,true
D0450,thắp đèn,,true
D0451,góp tiền,,true
D0452B,họp nhóm,,false
D0453,nhút nhát,"Hay rụt rè, sợ sệt.",true
D0455,luộc rau,,true
D0456,muối,"Tinh thể trắng, vị mặn, thường được tách từ nước biển, dùng để ăn.",true
D0457,nước mắm,"Dung dịch mặn, có vị ngọt đậm, được chế biến từ cá muối, dùng để chấm hoặc nêm thức ăn.",true
D0458,thoăn thoắt,"Cử động rất nhanh nhẹn, nhịp nhàng và liên tục của tay chân.",false
D0459,nghênh nghênh,,false
D0460,đua đòi,Bắt chước trong việc phô trương về hình thức để tỏ ra mình không thua kém ai.,false
D0461,bình sữa,,true
D0462,đòi,"Nói, báo cho người khác biết là phải trả cái thuộc quyền của mình.",false
D0463,đòi hỏi,"Tỏ rõ yêu cầu, mong muốn ở người khác và muốn người ta phải đáp ứng, làm theo.",true
D0464B,trẻ con/con nít,Chỉ những đứa trẻ nói chung có ý thân thiết.,false
D0465,duy nhất,"Chỉ có một mà thôi, không có hai.",false
D0466,cạnh tranh,"Tranh đua nhau để giành lấy lợi ích về phía mình, giữa những người, những tổ chức có cùng lĩnh vực hoạt động như nhau.",true
D0467,hoa hậu,"Danh hiệu dành cho người con gái đạt giải nhất trong một cuộc thi người đẹp có quy mô lớn (một nước, một khu vực, hoặc toàn thế giới).",true
D0468,cái neo,,true
D0469,phóng viên,"Người làm báo chuyên đi lấy tin tức, tài liệu để viết bài.",true
D0470B,nhà văn hóa,Nhà làm nơi tổ chức sinh hoạt câu lạc bộ cho quần chúng đông đảo.,false
D0472,chõ xôi,"Nồi dùng để đồ xôi, gồm hai tầng, tầng dưới đựng nước, tầng trên đựng gạo có lỗ nhỏ ở đáy để hơi nước bốc lên làm chín gạo.",true
D0473,cây cọ,"Cây bút lông để vẽ; cũng dùng để chỉ người vẽ tranh, hoạ sĩ (về mặt có một tính chất nào đó).",true
D0475,phong toả,"Bao vây để cô lập, cắt đứt mọi liên hệ, liên lạc với bên ngoài.",true
D0477,thung lũng,là một vùng đất có địa hình trũng hơn so với những vùng đất xung quanh.,true
D0478,địa hình,"Bề mặt của một vùng, với sự phân bố các yếu tố như núi, đồi, đồng bằng,v.v.",true
D0481,hoa giấy,"Cây leo, rậm lá, hoa mọc từng cụm ba cái, màu đỏ, trắng hay vàng, thường được trồng làm cảnh, làm thành giàn để lấy bóng mát.",true
D0482,hoa dâm bụt,,true
D0483,kết luận,Đưa ra ý cuối cùng được rút ra từ những sự kiện hay lập luận nhất định.,false
D0484,internet,,false
D0485,nhà vệ sinh,,true
D0486,đi vệ sinh,,true
D0488,hoa mai,,true
D0524B,dấu huyền,,false
D0525B,dấu sắc,,false
D0526B,dấu hỏi,Dùng đặt ở cuối câu hỏi.,false
D0527B,dấu ngã,,false
D0528,dấu nặng,,true
D0548B,nghìn,,false
D0549B,nghìn,,false
D0550B,nghìn,,false
D0551B,triệu,,false
D0552B,tỉ,,false
D0600,ăn cóc,,false
W00000,ác,,true
W00001,ác cảm,"Có cảm giác không ưa, phần nào thấy ghét.",false
W00002,ác độc,"Rát ác, thâm hiểm, thậm chí có phần thích thú trước những đau đớn gây ra cho người khác.",false
W00003,ác mộng,"Giấc mơ dữ, thấy những điều không lành đáng sợ; cũng dùng để chỉ tai hoạ lớn đã trải qua, nghĩ đến còn thấy ghê sợ, tưởng như thực như hư.",true
W00004B,ai,"Từ dùng để nói về người nào đó, không rõ. ",false
W00007,an ninh,"Yên ổn về mặt chính trị, về trật tự xã hội. ",false
W00010B,anh chị,,false
W00011,anh chị em,"Những người còn trẻ, gồm cả nam lẫn nữ, có quan hệ ruột thịt hoặc gần gũi như ruột thịt.",true
W00012B,anh dũng,Dũng cảm quên mình.,false
W00013B,anh em,Những người cùng một thế hệ có quan hệ ruột thịt hoặc họ hàng với nhau.,false
W00014B,anh họ,,false
W00015,anh hùng,"Người có tài năng và dũng khí hơn hẳn người thường, làm nên những việc được người đời ca tụng.",true
W00774,mực,,true
W00775,nai,,true
W00776,ngỗng,,true
W00777B,người,,false
W00778B,ngựa,,false
W00779,nhím,,true
W00781B,ong,,false
W00782,ốc,,true
W00783,quạ,,true
W00784,rắn,,true
W00785,rối,,true
W00786,ruồi,,true
W00787B,rùa,,false
W00788,sâu,,true
W00789,sò,,true
W00790,sóc,,true
W00791,sói,,true
W00792,sông,,true
W00793,số,,true
W00794B,sư tử,,false
W00795,tem,,true
W00796,thỏ,,true
W00797B,tôm,,false
W00799,trăn,,true
W00801,vẹt,,true
W00802,vịt,,true
W00803B,voi,,false
W00804,cong,"Không thẳng, mà cũng không gãy gập.",true
W00806,còng,"Khoá tay, chân bằng còng.",true
W00807,cõng,"Mang trên lưng, thường bằng cách còng lưng xuống và quặt tay ra phía sau để đỡ.",true
W00809,cô dâu,"Người con gái lấy chồng, trong hôm làm lễ cưới.",true
W00811,cô đơn,"Chỉ có một mình, không sống cùng với người khác.",true
W00812B,cô giáo,Người phụ nữ làm nghề dạy học.,false
W00814,cổ,"Bộ phận của cơ thể, nối đầu với thân.",true
W00817,cổ đại,Thời đại xưa nhất trong lịch sử.,true
W00819,cổ kính,Cổ xưa và có vẻ trang nghiêm.,true
